"rank","title","authors","genre","price","price_avg","price_paperback","price_hardcover","pages","summary","details","url"
129,"Mindset: The New Psychology of Success Book","Carol Dweck","Psychology","153–292",222.5,153,292,295," *Mindset: The New Psychology of Success* by Carol Dweck explores the concept of ""mindsets"" and how they shape our lives. Dweck distinguishes between two types of mindsets: a **fixed mindset**, where people believe their abilities are static, and a **growth mindset**, where people believe they can develop their abilities through effort and learning. The book explains how adopting a growth mindset can lead to greater success in various areas, such as education, work, and relationships, and provides strategies for cultivating this mindset to unlock potential and overcome challenges.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages amount 295 ✅ Summary *Mindset: The New Psychology of Success* by Carol Dweck explores the concept of ""mindsets"" and how they shape our lives. Dweck distinguishes between two types of mindsets: a **fixed mindset**, where people believe their abilities are static, and a **growth mindset**, where people believe they can develop their abilities through effort and learning. The book explains how adopting a growth mindset can lead to greater success in various areas, such as education, work, and relationships, and provides strategies for cultivating this mindset to unlock potential and overcome challenges.","https://www.bookowlsbd.com/products/mindset-the-new-psychology-of-success-book-by-carol-dweck"
130,"Sharp Objects Novel","Gillian Flynn","Fiction, Mystery, Thriller, History, Novel, Journal, Crime","242–291",266.5,242,291,235," ""Sharp Objects"" follows journalist Camille Preaker as she returns to her hometown to cover the murders of two young girls. While investigating the crimes, Camille confronts her own troubled past and strained relationships with her family. The novel delves into the dark secrets of the small community and explores the psychological toll of Camille's personal history as she unravels the mystery behind the killings.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Psychological thriller, Mystery, Crime fiction✅ 235 pages ✅ summary - ""Sharp Objects"" follows journalist Camille Preaker as she returns to her hometown to cover the murders of two young girls. While investigating the crimes, Camille confronts her own troubled past and strained relationships with her family. The novel delves into the dark secrets of the small community and explores the psychological toll of Camille's personal history as she unravels the mystery behind the killings.","https://www.bookowlsbd.com/products/copy-of-the-mom-test-how-to-talk-to-customers-and-learn-if-your-business-is-a-good-idea-when-everyone-is-lying-to-you-book-by-rob-fitzpatrick"
131,"Sapiens: A Brief History of Humankind","Yuval Noah Harari","Fiction, History","197–223",210,197,223,482," In ""Sapiens: A Brief History of Humankind,"" Yuval Noah Harari provides a captivating overview of the history of Homo sapiens, tracing the evolution of humans from ancient ancestors to the present day. Harari explores significant milestones in human development, from the Cognitive Revolution that enabled complex societies to the Agricultural Revolution that transformed lifestyles. He delves into the impact of cultural, economic, and technological changes, examining how humans have shaped the world and been shaped by it. Harari's narrative skillfully weaves together anthropology, biology, and history, offering readers a thought-provoking exploration of the forces that have shaped human societies and the challenges that lie ahead in the future. ""Sapiens"" is a compelling and enlightening journey through the shared history of humankind, illuminating our place in the grand tapestry of evolution.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Non-fiction✅ 482 pages ✅ Summary - In ""Sapiens: A Brief History of Humankind,"" Yuval Noah Harari provides a captivating overview of the history of Homo sapiens, tracing the evolution of humans from ancient ancestors to the present day. Harari explores significant milestones in human development, from the Cognitive Revolution that enabled complex societies to the Agricultural Revolution that transformed lifestyles. He delves into the impact of cultural, economic, and technological changes, examining how humans have shaped the world and been shaped by it. Harari's narrative skillfully weaves together anthropology, biology, and history, offering readers a thought-provoking exploration of the forces that have shaped human societies and the challenges that lie ahead in the future. ""Sapiens"" is a compelling and enlightening journey through the shared history of humankind, illuminating our place in the grand tapestry of evolution.","https://www.bookowlsbd.com/products/sapiens-a-brief-history-of-humankind-by-yuval-noah-harari-premium-copy-price-in-bangladesh"
132,"Reclaim Your Heart","Yasmin Mogahed","Self-Help, Spiritual, Action","237–252",244.5,237,252,237," ""Reclaim Your Heart"" by Yasmin Mogahed is a profound exploration of the human heart's spiritual journey. Mogahed delves into the challenges of navigating life's trials and tribulations, emphasizing the importance of connecting with one's inner self and spirituality to find peace and fulfillment. Through personal anecdotes, reflections, and Islamic teachings, the book offers readers valuable insights into overcoming hardships, healing emotional wounds, and finding true contentment. Mogahed's eloquent prose and heartfelt wisdom inspire readers to reclaim their hearts from the distractions of the world, fostering a deeper connection with faith and inner tranquility. The book serves as a guide for those seeking spiritual growth and emotional healing, encouraging them to embrace their vulnerabilities and transform their pain into strength and resilience.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Self-help book✅ 237 pages ✅ Summary - ""Reclaim Your Heart"" by Yasmin Mogahed is a profound exploration of the human heart's spiritual journey. Mogahed delves into the challenges of navigating life's trials and tribulations, emphasizing the importance of connecting with one's inner self and spirituality to find peace and fulfillment. Through personal anecdotes, reflections, and Islamic teachings, the book offers readers valuable insights into overcoming hardships, healing emotional wounds, and finding true contentment. Mogahed's eloquent prose and heartfelt wisdom inspire readers to reclaim their hearts from the distractions of the world, fostering a deeper connection with faith and inner tranquility. The book serves as a guide for those seeking spiritual growth and emotional healing, encouraging them to embrace their vulnerabilities and transform their pain into strength and resilience.","https://www.bookowlsbd.com/products/reclaim-your-heart-by-yasmin-mogahed-premium-copy-price-in-bangladesh"
133,"Kafka on the Shore Novel","Haruki Murakami","Fiction, Fantasy, Novel","155–290",222.5,155,290,492," ""Kafka on the Shore"" is a novel that intertwines two narratives—a runaway teenager named Kafka Tamura who escapes an abusive home in Tokyo, and an elderly man named Nakata who has a mysterious ability. As their stories unfold, the novel explores themes of identity, destiny, and the blurred boundaries between reality and fantasy in typical Murakami fashion. The narrative is rich with symbolism, dreamlike sequences, and a touch of magical realism, creating a unique and thought-provoking reading experience.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre -Magical Realism, Surrealism, Fantasy, Fiction.✅ 492 pages ✅ summary - ""Kafka on the Shore"" is a novel that intertwines two narratives—a runaway teenager named Kafka Tamura who escapes an abusive home in Tokyo, and an elderly man named Nakata who has a mysterious ability. As their stories unfold, the novel explores themes of identity, destiny, and the blurred boundaries between reality and fantasy in typical Murakami fashion. The narrative is rich with symbolism, dreamlike sequences, and a touch of magical realism, creating a unique and thought-provoking reading experience.","https://www.bookowlsbd.com/products/copy-of-she-drives-me-crazy-book-by-kelly-quindlen"
134,"Butcher & Blackbird","Brynne Weaver","Mystery, Thriller, Novel","272–755",513.5,272,755,301," ""Butcher & Blackbird"" is a psychological thriller novel by Brynne Weaver. The story follows the intertwining lives of two women: Butcher, a haunted and enigmatic woman living in isolation in the Appalachian Mountains, and Blackbird, a young woman who stumbles upon Butcher's remote cabin. As the two women's lives become entangled, dark secrets and past traumas are unearthed, leading to a tense and psychological exploration of the complexities of human nature and the consequences of choices made. The novel weaves a suspenseful and atmospheric tale that keeps readers on the edge of their seats.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Psychological Thriller, Mystery✅ 301 pages ✅ summary - ""Butcher & Blackbird"" is a psychological thriller novel by Brynne Weaver. The story follows the intertwining lives of two women: Butcher, a haunted and enigmatic woman living in isolation in the Appalachian Mountains, and Blackbird, a young woman who stumbles upon Butcher's remote cabin. As the two women's lives become entangled, dark secrets and past traumas are unearthed, leading to a tense and psychological exploration of the complexities of human nature and the consequences of choices made. The novel weaves a suspenseful and atmospheric tale that keeps readers on the edge of their seats.","https://www.bookowlsbd.com/products/butcher-blackbird-by-brynne-weaver-premium-copy-price-in-bangladesh"
135,"None of This is True: A Novel Book","Lisa Jewell","Fiction, Mystery, Novel","134–343",238.5,134,343,272," ""None of This is True: A Novel"" by Lisa Jewell is a contemporary fiction novel with a mysterious twist. The story follows the lives of its characters, who are connected by a shared past and secrets. When a famous writer's death sparks an investigation into the truth behind her novels and the people who inspired them, the characters' lives become entangled in a web of truth, lies, and revelations. The novel explores the impact of fiction on reality and the blurred lines between the two. It's a captivating and suspenseful tale that challenges the notion of what is true and what is invented in the world of storytelling.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Contemporary Fiction, Mystery.✅ 272 pages ✅ summary - ""None of This is True: A Novel"" by Lisa Jewell is a contemporary fiction novel with a mysterious twist. The story follows the lives of its characters, who are connected by a shared past and secrets. When a famous writer's death sparks an investigation into the truth behind her novels and the people who inspired them, the characters' lives become entangled in a web of truth, lies, and revelations. The novel explores the impact of fiction on reality and the blurred lines between the two. It's a captivating and suspenseful tale that challenges the notion of what is true and what is invented in the world of storytelling.","https://www.bookowlsbd.com/products/none-of-this-is-true-a-novel-book-by-lisa-jewell-premium-copy-price-in-bangladesh"
136,"Gone Girl","Gillian Flynn","Mystery, Thriller, Novel","246–287",266.5,246,287,401," ""Gone Girl"" revolves around the mysterious disappearance of Amy Dunne on her fifth wedding anniversary. As the media and the police scrutinize Amy's husband Nick as the prime suspect, the story unfolds through alternating perspectives, revealing the complexities of their marriage and the secrets they both harbor. The novel delves into themes of marriage, manipulation, and the media's influence, keeping readers on the edge of their seats with its twists and turns, ultimately challenging perceptions of truth and deception.","✅  Premium Off-White Cream Pages ✅ Stitched Binding ✅ Matte Cover ✅ Local Premium Copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Mystery, Thriller✅ 401 pages ✅ Summary - ""Gone Girl"" revolves around the mysterious disappearance of Amy Dunne on her fifth wedding anniversary. As the media and the police scrutinize Amy's husband Nick as the prime suspect, the story unfolds through alternating perspectives, revealing the complexities of their marriage and the secrets they both harbor. The novel delves into themes of marriage, manipulation, and the media's influence, keeping readers on the edge of their seats with its twists and turns, ultimately challenging perceptions of truth and deception.","https://www.bookowlsbd.com/products/gone-girl-by-gillian-flynn-premium-copy-price-in-bangladesh"
137,"Not Quite Dead Yet Book","Holly Jackson","Unknown","244–415",329.5,244,415,343," A teen wakes up in a morgue, discovers she was declared dead, and must uncover the truth behind her attempted murder—before her killer finishes the job.","✅  Premium Off-White Cream Pages✅ Stitched Binding✅ Matte Cover✅ Local Premium Copy✅ Language - English✅ Dimensions - 5.5 x 8.26 inches✅ 343 Pages✅ Summary - A teen wakes up in a morgue, discovers she was declared dead, and must uncover the truth behind her attempted murder—before her killer finishes the job.","https://www.bookowlsbd.com/products/not-quite-dead-yet-book-by-holly-jackson"
138,"Mindfuck Whole Series","S.T. Abby","Thriller, Romance, Crime","291–422",356.5,291,422,576,NA,"✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches pages amount 576 The *Mindf*ck* series by S.T. Abby follows the intense and twisted story of Lana, a woman seeking revenge on the men who wronged her. She embarks on a dangerous, calculated journey while keeping her true identity hidden from Logan, a FBI agent who becomes entangled with her. As their relationship deepens, Lana must navigate her dark past, secrets, and the line between justice and obsession. The series is a mix of psychological thriller, romance, and suspense, featuring elements of crime, betrayal, and vengeance.","https://www.bookowlsbd.com/products/mindfuck-whole-series-by-s-t-abby"
139,"Dark Matter Book","Blake Crouch","Fiction, Science Fiction","271–362",316.5,271,362,366," Dark Matter is the story of Jason Dessen, an intensely devoted family man with a lackluster career. One day he's abducted by a mysterious stranger, and every assumption he'd had about his life is yanked away. He finds himself in a disorienting world both similar and different from his ""real"" life.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Science fiction ✅ 366 pages ✅ summary - Dark Matter is the story of Jason Dessen, an intensely devoted family man with a lackluster career. One day he's abducted by a mysterious stranger, and every assumption he'd had about his life is yanked away. He finds himself in a disorienting world both similar and different from his ""real"" life.","https://www.bookowlsbd.com/products/dark-matter-book-by-blake-crouch"
140,"The Night Circus Novel","Erin Morgenstern","Fiction, Fantasy, Mystery, Romance, Novel, Historical Fiction","319–480",399.5,319,480,419," ""The Night Circus"" is a fantasy novel that revolves around a mysterious and enchanting circus that appears at night without any warning. The circus, named Le Cirque des Rêves, becomes the stage for a magical competition between two young illusionists, Celia and Marco, who have been bound by their mentors to engage in a duel of magical skills. As the competition unfolds, the circus becomes a backdrop for a love story and a showcase of extraordinary feats of magic. The narrative weaves together elements of fantasy, romance, and mystery, creating a mesmerizing and atmospheric tale that captures the imagination of its readers.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Fantasy, Historical Fiction, Romance✅ 419 pages ✅ summary - ""The Night Circus"" is a fantasy novel that revolves around a mysterious and enchanting circus that appears at night without any warning. The circus, named Le Cirque des Rêves, becomes the stage for a magical competition between two young illusionists, Celia and Marco, who have been bound by their mentors to engage in a duel of magical skills. As the competition unfolds, the circus becomes a backdrop for a love story and a showcase of extraordinary feats of magic. The narrative weaves together elements of fantasy, romance, and mystery, creating a mesmerizing and atmospheric tale that captures the imagination of its readers.","https://www.bookowlsbd.com/products/copy-of-birthday-girl-book-by-penelope-douglas"
141,"The Great Gatsby Novel by F. Scott Fitzgerald","Novel by F. Scott Fitzgerald","Fiction, Romance, Classic, Novel, Classic Literature","335–372",353.5,335,372,174," ""The Great Gatsby"" is a classic novel set in the 1920s, exploring the lives of the wealthy and enigmatic Jay Gatsby and his pursuit of the American Dream. Narrated by Nick Carraway, the story delves into themes of love, wealth, and the illusion of the American Dream against the backdrop of the glamorous but ultimately empty lives of the Jazz Age elite. As Gatsby throws extravagant parties in the hope of rekindling a past romance with Daisy Buchanan, the novel unravels a tale of longing, deception, and the consequences of the relentless pursuit of an unattainable dream.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre -Classic literature, fiction, romance, tragedy.✅ 174 pages ✅ summary - ""The Great Gatsby"" is a classic novel set in the 1920s, exploring the lives of the wealthy and enigmatic Jay Gatsby and his pursuit of the American Dream. Narrated by Nick Carraway, the story delves into themes of love, wealth, and the illusion of the American Dream against the backdrop of the glamorous but ultimately empty lives of the Jazz Age elite. As Gatsby throws extravagant parties in the hope of rekindling a past romance with Daisy Buchanan, the novel unravels a tale of longing, deception, and the consequences of the relentless pursuit of an unattainable dream.","https://www.bookowlsbd.com/products/copy-of-the-family-tree-book-by-sairish-hussain"
142,"The Subtle Art of Not Giving a F*ck","Mark Manson","Self-Help","191–204",197.5,191,204,156," ""The Subtle Art of Not Giving a F*ck"" by Mark Manson challenges conventional self-help advice by advocating for embracing life's struggles and limitations rather than constantly seeking positivity. Manson argues that the key to a fulfilling life is not avoiding discomfort or failure but learning to prioritize what truly matters. Through candid anecdotes and blunt wisdom, he encourages readers to confront their values, accept their limitations, and focus on what they genuinely care about. With a no-nonsense approach, Manson explores themes of resilience, authenticity, and personal responsibility, urging readers to redefine their goals and priorities to lead a more meaningful and satisfying life.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Self-help book✅ 156 pages ✅ Summary - ""The Subtle Art of Not Giving a F*ck"" by Mark Manson challenges conventional self-help advice by advocating for embracing life's struggles and limitations rather than constantly seeking positivity. Manson argues that the key to a fulfilling life is not avoiding discomfort or failure but learning to prioritize what truly matters. Through candid anecdotes and blunt wisdom, he encourages readers to confront their values, accept their limitations, and focus on what they genuinely care about. With a no-nonsense approach, Manson explores themes of resilience, authenticity, and personal responsibility, urging readers to redefine their goals and priorities to lead a more meaningful and satisfying life.","https://www.bookowlsbd.com/products/the-subtle-art-of-not-giving-a-f-ck-by-mark-manson-premium-copy-price-in-bangladesh"
143,"Stoner Novel","John Edward Williams","Novel","236–321",278.5,236,321,222," Stoner by John Williams is a quiet, profound novel about the life of William Stoner, a humble and dedicated English professor in Missouri. The story chronicles his personal and professional struggles, unfulfilled ambitions, and quiet perseverance, reflecting on the beauty and tragedy of an unremarkable yet deeply meaningful life.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages amount 222 ✅ Summary Stoner by John Williams is a quiet, profound novel about the life of William Stoner, a humble and dedicated English professor in Missouri. The story chronicles his personal and professional struggles, unfulfilled ambitions, and quiet perseverance, reflecting on the beauty and tragedy of an unremarkable yet deeply meaningful life.","https://www.bookowlsbd.com/products/stoner-novel-by-john-edward-williams"
144,"Nothing Like the Movies Book","Lynn Painter","Romance, Young Adult, Novel","152–288",220,152,288,346," Nothing Like the Movies by Lynn Painter is a young adult romance novel about a teenage girl named Ella who is struggling with the recent breakup of her parents and her own lack of excitement in life. When she agrees to attend a family wedding with her best friend, she unexpectedly finds herself drawn to the groom's son, Max. As they spend more time together, Ella begins to realize that her life might not be as ordinary as she thought, and the connection between her and Max grows. The novel explores themes of love, family, and self-discovery, with a sweet, feel-good romance at its core.","✅  Premium Off-White Cream Pages ✅ Stitched Binding ✅ Matte Cover ✅ Local Premium Copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages Amount 346 ✅ Summary Nothing Like the Movies by Lynn Painter is a young adult romance novel about a teenage girl named Ella who is struggling with the recent breakup of her parents and her own lack of excitement in life. When she agrees to attend a family wedding with her best friend, she unexpectedly finds herself drawn to the groom's son, Max. As they spend more time together, Ella begins to realize that her life might not be as ordinary as she thought, and the connection between her and Max grows. The novel explores themes of love, family, and self-discovery, with a sweet, feel-good romance at its core.","https://www.bookowlsbd.com/products/nothing-like-the-movies-book-by-lynn-painter"
145,"Sun and Steel Book","Yukio Mishima","Biography, Essay, Memoir, Spiritual","284–303",293.5,284,303,99," Sun and Steel by Yukio Mishima is a philosophical essay and memoir that explores themes of strength, masculinity, and the conflict between the modern world and traditional values. The book reflects Mishima's personal beliefs, advocating for physical and spiritual discipline through bodybuilding, as well as a return to a more warrior-like, heroic ideal of life. It blends autobiography with reflections on the body, the mind, and the soul, offering insights into the author's views on Japan and modernity.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages amount 99 ✅ Summary Sun and Steel by Yukio Mishima is a philosophical essay and memoir that explores themes of strength, masculinity, and the conflict between the modern world and traditional values. The book reflects Mishima's personal beliefs, advocating for physical and spiritual discipline through bodybuilding, as well as a return to a more warrior-like, heroic ideal of life. It blends autobiography with reflections on the body, the mind, and the soul, offering insights into the author's views on Japan and modernity.","https://www.bookowlsbd.com/products/sun-and-steel-book-by-yukio-mishima"
146,"Heated Rivalry","Rachel Reid","Romance","444–783",613.5,444,783,297," ""Heated Rivalry"" by Rachel Reid follows the intense and unexpected romance between NHL stars Shane Hollander and Ilya Rozanov. Amidst the fierce competition on the ice, their relationship develops, challenging not only their professional dynamics but also their personal lives. The story explores themes of rivalry, passion, and the complexities of love in the world of professional sports.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Romance, Contemporary.✅ 297 pages ✅ summary - ""Heated Rivalry"" by Rachel Reid follows the intense and unexpected romance between NHL stars Shane Hollander and Ilya Rozanov. Amidst the fierce competition on the ice, their relationship develops, challenging not only their professional dynamics but also their personal lives. The story explores themes of rivalry, passion, and the complexities of love in the world of professional sports.","https://www.bookowlsbd.com/products/heated-rivalry-by-rachel-reid"
147,"Misery Novel","Stephen King","Fiction, Horror","150–265",207.5,150,265,291," Paul Sheldon used to write for a living. Now he's writing to stay alive. Misery Chastain is dead. Paul Sheldon has just killed her - with relief, with joy. Misery made him rich; she was the heroine of a string of bestsellers. And now he wants to get on to some real writing. That's when the car accident happens, and he wakes up splinted and in pain, in the remote mountain home of his rescuer, Annie Wilkes. The good news is that Annie was a nurse and has pain-killing drugs. The bad news is that she has long been Paul's Number One Fan. And when she finds out what Paul has done to Misery, she doesn't like it. She doesn't like it at all . . .","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - Horror fiction ✅ 291 pages ✅ summary - Paul Sheldon used to write for a living. Now he's writing to stay alive. Misery Chastain is dead. Paul Sheldon has just killed her - with relief, with joy. Misery made him rich; she was the heroine of a string of bestsellers. And now he wants to get on to some real writing. That's when the car accident happens, and he wakes up splinted and in pain, in the remote mountain home of his rescuer, Annie Wilkes. The good news is that Annie was a nurse and has pain-killing drugs. The bad news is that she has long been Paul's Number One Fan. And when she finds out what Paul has done to Misery, she doesn't like it. She doesn't like it at all . . .","https://www.bookowlsbd.com/products/misery-novel-by-stephen-king"
148,"The Inheritance Games Novel","Jennifer Lynn Barnes","Fiction, Mystery","251–415",333,251,415,319," The book follows Avery Kylie Grambs, a high school girl who lost her mom and is now living with her step-sister Libby. Avery has just discovered that Tobias Hawthorne, a billionaire, has left her in his will. However, Avery will not simply inherit the fortune. She must play Tobias Hawthornes' inheritance game.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre -: Fiction, Mystery ✅ 319 pages✅ summary - The book follows Avery Kylie Grambs, a high school girl who lost her mom and is now living with her step-sister Libby. Avery has just discovered that Tobias Hawthorne, a billionaire, has left her in his will. However, Avery will not simply inherit the fortune. She must play Tobias Hawthornes' inheritance game.","https://www.bookowlsbd.com/products/copy-of-the-hawthorne-legacy-book-by-jennifer-lynn-barnes"
149,"Little Women Novel","Louisa May Alcott","Romance, Novel, Health","151–360",255.5,151,360,524," Little Women follows the four March sisters - Meg, Jo, Beth, and Amy - in 19th century Concord, Massachusetts. It's a heartwarming story about family and growing up. The sisters have their own dreams and struggles: Jo aspires to be a writer, Amy wants to become an artist, Meg longs for a family of her own, and frail Beth's health fails. Under the guidance of their mother Marmee, however, their shared camaraderie gets them through life's ups and downs. As the sisters become women, they face questions of independence, romance, and caring for others. The novel memorably depicts the March sisters' journeys from childhood to maturity.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre - ✅ 524 pages✅ summary - Little Women follows the four March sisters - Meg, Jo, Beth, and Amy - in 19th century Concord, Massachusetts. It's a heartwarming story about family and growing up. The sisters have their own dreams and struggles: Jo aspires to be a writer, Amy wants to become an artist, Meg longs for a family of her own, and frail Beth's health fails. Under the guidance of their mother Marmee, however, their shared camaraderie gets them through life's ups and downs. As the sisters become women, they face questions of independence, romance, and caring for others. The novel memorably depicts the March sisters' journeys from childhood to maturity.","https://www.bookowlsbd.com/products/copy-of-the-hobbit-novel-by-john-ronald-reuel-tolkien"
150,"Alchemised","SenLinYu","Romance, History","293–546",419.5,293,546,1018," “What is it you think you’re protecting in that brain of yours? The war is over. Holdfast is dead. The Eternal Flame extinguished. There’s no one left for you to save.” Once a promising alchemist, Helena Marino is now a prisoner—of war and of her own mind. Her Resistance friends and allies have been brutally murdered, her abilities suppressed, and the world she knew destroyed. In the aftermath of a long war, Paladia’s new ruling class of corrupt guild families and depraved necromancers, whose vile undead creatures helped bring about their victory, holds Helena captive. According to Resistance records, she was a healer of little importance within their ranks. But Helena has inexplicable memory loss of the months leading up to her capture, making her enemies wonder: Is she truly as insignificant as she appears, or are her lost memories hiding some vital piece of the Resistance’s final gambit? To uncover the memories buried deep within her mind, Helena is sent to the High Reeve, one of the most powerful and ruthless necromancers in this new world. Trapped on his crumbling estate, Helena’s fight—to protect her lost history and to preserve the last remaining shreds of her former self—is just beginning. For her prison and captor have secrets of their own . . . secrets Helena must unearth, whatever the cost.","✅  Premium Off-White Cream Pages ✅ Stitched Binding ✅ Matte Cover ✅ Local Premium Copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Pages Amount 1018 ✅ Summary - “What is it you think you’re protecting in that brain of yours? The war is over. Holdfast is dead. The Eternal Flame extinguished. There’s no one left for you to save.” Once a promising alchemist, Helena Marino is now a prisoner—of war and of her own mind. Her Resistance friends and allies have been brutally murdered, her abilities suppressed, and the world she knew destroyed. In the aftermath of a long war, Paladia’s new ruling class of corrupt guild families and depraved necromancers, whose vile undead creatures helped bring about their victory, holds Helena captive. According to Resistance records, she was a healer of little importance within their ranks. But Helena has inexplicable memory loss of the months leading up to her capture, making her enemies wonder: Is she truly as insignificant as she appears, or are her lost memories hiding some vital piece of the Resistance’s final gambit? To uncover the memories buried deep within her mind, Helena is sent to the High Reeve, one of the most powerful and ruthless necromancers in this new world. Trapped on his crumbling estate, Helena’s fight—to protect her lost history and to preserve the last remaining shreds of her former self—is just beginning. For her prison and captor have secrets of their own . . . secrets Helena must unearth, whatever the cost.","https://www.bookowlsbd.com/products/alchemised-by-senlinyu"
151,"The Wicked King Book","Holly Black","Unknown","257–321",289,257,321,263," The Wicked King is the second installment in Holly Black's ""The Folk of the Air"" series. The story picks up with Jude Duarte, who has successfully maneuvered her way into the treacherous politics of the faerie court. Now, as the mortal Queen of Elfhame, she must navigate the dangerous waters of the realm of magic, where deceit and betrayal lurk at every corner. Jude finds herself entangled in a web of political intrigue and power struggles, with both mortal and faerie forces vying for control. The enigmatic and unpredictable Cardan, the titular ""Wicked King,"" adds complexity to Jude's challenges as she grapples with her feelings for him and the implications of their complicated relationship. As Jude strives to maintain her grasp on power and protect her family, she discovers that the faerie realm is an unforgiving and unpredictable landscape. Loyalties are tested, alliances are fragile, and the pursuit of power comes with a steep price. The Wicked King explores themes of ambition, love, and the consequences of wielding authority in a world where magic and machination collide. Holly Black masterfully crafts a tale of suspense and intrigue, keeping readers on the edge of their seats as they follow Jude's tumultuous journey through the perilous faerie court.","✅  premium off-white cream pages ✅ Stitched binding ✅ Matte cover ✅ local premium copy ✅ Language - English ✅ Dimensions - 5.5 x 8.26 inches ✅ Genre : ✅ 263 pages✅ summary - The Wicked King is the second installment in Holly Black's ""The Folk of the Air"" series. The story picks up with Jude Duarte, who has successfully maneuvered her way into the treacherous politics of the faerie court. Now, as the mortal Queen of Elfhame, she must navigate the dangerous waters of the realm of magic, where deceit and betrayal lurk at every corner. Jude finds herself entangled in a web of political intrigue and power struggles, with both mortal and faerie forces vying for control. The enigmatic and unpredictable Cardan, the titular ""Wicked King,"" adds complexity to Jude's challenges as she grapples with her feelings for him and the implications of their complicated relationship. As Jude strives to maintain her grasp on power and protect her family, she discovers that the faerie realm is an unforgiving and unpredictable landscape. Loyalties are tested, alliances are fragile, and the pursuit of power comes with a steep price. The Wicked King explores themes of ambition, love, and the consequences of wielding authority in a world where magic and machination collide. Holly Black masterfully crafts a tale of suspense and intrigue, keeping readers on the edge of their seats as they follow Jude's tumultuous journey through the perilous faerie court.","https://www.bookowlsbd.com/products/copy-of-the-queen-of-nothing-book-by-holly-black"
